,quad,year,trackID,area,survives,age,distEdgeMin,allEdge,seedling,QuadName,Grazing,Group
136,Q10,37,19,0.25,1,2,8.929837071,0,0,P1 E1 Q4,UG,P1E1
145,Q10,38,19,8.616626461,1,3,6.942362831,0,0,P1 E1 Q4,UG,P1E1
153,Q10,39,19,6.886624972,1,4,7.744771429,0,0,P1 E1 Q4,UG,P1E1
155,Q10,40,19,12.57693554,1,5,4.783569869,0,0,P1 E1 Q4,UG,P1E1
160,Q10,41,19,26.79269932,1,6,3.069737856,0,0,P1 E1 Q4,UG,P1E1
138,Q10,37,20,0.25,0,1,14.39454801,0,1,P1 E1 Q4,UG,P1E1
137,Q10,37,21,0.25,0,1,14.0909527,0,1,P1 E1 Q4,UG,P1E1
146,Q10,38,22,0.25,0,1,4.115080817,1,1,P1 E1 Q4,UG,P1E1
144,Q10,38,23,0.25,0,1,28.1463285,0,1,P1 E1 Q4,UG,P1E1
148,Q10,38,24,0.25,0,1,0.271208938,1,1,P1 E1 Q4,UG,P1E1
142,Q10,38,25,0.25,0,1,13.94783942,0,1,P1 E1 Q4,UG,P1E1
151,Q10,39,26,0.25,0,1,29.23808631,0,1,P1 E1 Q4,UG,P1E1
165,Q10,45,36,297.1596575,0,1,9.11E-12,0,0,P1 E1 Q4,UG,P1E1
162,Q10,45,37,0.25,0,1,33.21624256,0,1,P1 E1 Q4,UG,P1E1
166,Q11,30,8,9.460255925,1,1,3.8881027,0,0,P1 Q1,G,P1
168,Q11,31,8,24.06101021,1,2,2.974514417,0,0,P1 Q1,G,P1
169,Q11,32,8,27.88328375,1,3,8.9983605,0,0,P1 Q1,G,P1
171,Q11,33,8,94.53687482,1,4,-1.35E-08,0,0,P1 Q1,G,P1
173,Q11,34,8,16.77220668,0,5,8.0806949,0,0,P1 Q1,G,P1
175,Q11,35,8,15.79727614,0,6,-1.99E-08,1,0,P1 Q1,G,P1
167,Q11,31,9,21.51352865,1,1,0.228158152,0,0,P1 Q1,G,P1
170,Q11,32,9,100.8718423,1,2,0.0174613,0,0,P1 Q1,G,P1
172,Q11,33,9,84.86145535,1,3,0.146083152,0,0,P1 Q1,G,P1
174,Q11,35,9,72.3951501,1,5,-1.77E-08,0,0,P1 Q1,G,P1
177,Q11,36,9,70.35822736,1,6,0.37115115,0,0,P1 Q1,G,P1
178,Q11,37,9,72.83767846,1,7,0.386648,0,0,P1 Q1,G,P1
180,Q11,38,9,28.3604123,1,8,0.16264255,1,0,P1 Q1,G,P1
182,Q11,39,9,73.85224022,1,9,0.23610505,0,0,P1 Q1,G,P1
183,Q11,40,9,78.06032942,1,10,0.0999144,0,0,P1 Q1,G,P1
184,Q11,41,9,55.60497132,1,11,0.2287394,0,0,P1 Q1,G,P1
185,Q11,45,9,172.9683106,1,15,0.57629255,0,0,P1 Q1,G,P1
186,Q11,46,9,148.79222,1,16,1.87E-08,0,0,P1 Q1,G,P1
187,Q11,49,9,84.29107608,1,19,4.25E-09,0,0,P1 Q1,G,P1
176,Q11,36,10,0.25,0,1,5.968190194,0,1,P1 Q1,G,P1
179,Q11,38,11,0.25,0,1,1.774855815,1,0,P1 Q1,G,P1
181,Q11,38,12,0.25,0,1,3.966087067,1,1,P1 Q1,G,P1
189,Q11,56,29,66.70081524,0,1,1.4043199,0,0,P1 Q1,G,P1
188,Q11,56,30,85.5264213,1,1,2.69662145,0,0,P1 Q1,G,P1
190,Q11,56,31,15.23008929,1,1,15.063066,0,0,P1 Q1,G,P1
191,Q12,30,9,12.75402524,1,1,19.392516,0,0,P1 Q2,G,P1
194,Q12,31,9,14.20403383,1,2,19.67931598,0,0,P1 Q2,G,P1
195,Q12,32,9,0.25,1,3,21.41991052,0,0,P1 Q2,G,P1
197,Q12,33,9,5.483769439,0,4,20.5010488,0,0,P1 Q2,G,P1
192,Q12,30,10,1.757924573,1,1,39.63346365,0,0,P1 Q2,G,P1
193,Q12,31,10,12.52645408,1,2,39.01800897,0,0,P1 Q2,G,P1
196,Q12,32,10,0.25,1,3,36.50243944,0,0,P1 Q2,G,P1
198,Q12,33,10,40.23069333,1,4,39.7128371,0,0,P1 Q2,G,P1
201,Q12,34,10,17.74105539,1,5,39.82307615,0,0,P1 Q2,G,P1
203,Q12,35,10,64.06461618,1,6,36.74824102,0,0,P1 Q2,G,P1
208,Q12,36,10,73.75336665,1,7,35.42946055,0,0,P1 Q2,G,P1
211,Q12,37,10,43.87382693,1,8,28.6631043,0,0,P1 Q2,G,P1
216,Q12,38,10,66.65073216,1,9,23.9127035,0,0,P1 Q2,G,P1
220,Q12,40,10,88.03584396,1,11,21.2550566,0,0,P1 Q2,G,P1
200,Q12,34,11,0.25,0,1,10.02292067,0,0,P1 Q2,G,P1
202,Q12,34,12,0.25,0,1,17.90316364,0,0,P1 Q2,G,P1
199,Q12,34,13,0.25,0,1,12.29940973,0,0,P1 Q2,G,P1
205,Q12,35,14,26.35575138,0,1,2.45E-09,1,0,P1 Q2,G,P1
204,Q12,35,15,0.25,0,1,2.120360503,1,0,P1 Q2,G,P1
206,Q12,35,16,0.25,0,1,35.84948475,0,0,P1 Q2,G,P1
207,Q12,35,17,0.25,0,1,35.04264178,0,0,P1 Q2,G,P1
209,Q12,36,18,0.25,1,1,34.63056835,0,1,P1 Q2,G,P1
213,Q12,38,18,4.287215115,1,3,34.2239988,0,0,P1 Q2,G,P1
217,Q12,39,18,1.701134988,0,4,34.89660975,0,0,P1 Q2,G,P1
210,Q12,37,19,0.25,0,1,17.2677527,0,1,P1 Q2,G,P1
215,Q12,38,20,0.25,0,1,27.86329412,0,1,P1 Q2,G,P1
214,Q12,38,21,0.25,0,1,20.00915583,0,1,P1 Q2,G,P1
212,Q12,38,22,0.25,0,1,2.092419877,1,1,P1 Q2,G,P1
218,Q12,39,23,0.25,1,1,2.045837846,1,1,P1 Q2,G,P1
219,Q12,40,23,0.25,0,2,2.693901128,1,0,P1 Q2,G,P1
221,Q12,45,24,75.23629377,1,1,18.6322019,0,0,P1 Q2,G,P1
224,Q12,46,24,64.15663597,1,2,20.4953035,0,0,P1 Q2,G,P1
222,Q12,46,25,20.47085695,1,1,-6.24E-09,1,0,P1 Q2,G,P1
226,Q12,49,25,248.8742972,1,4,3.34E-09,0,0,P1 Q2,G,P1
228,Q12,50,25,238.0155142,1,5,-1.75E-08,0,0,P1 Q2,G,P1
229,Q12,51,25,285.5080156,1,6,2.54E-09,0,0,P1 Q2,G,P1
230,Q12,54,25,338.4488639,1,9,-1.83E-08,0,0,P1 Q2,G,P1
235,Q12,55,25,432.0322535,1,10,-4.44E-09,0,0,P1 Q2,G,P1
239,Q12,56,25,0.25,1,11,6.44066285,0,0,P1 Q2,G,P1
223,Q12,46,26,17.11891453,0,1,2.10E-08,1,0,P1 Q2,G,P1
225,Q12,49,27,73.38827518,1,3,3.136276913,0,0,P1 Q2,G,P1
227,Q12,50,27,95.20461675,0,4,0.111801908,0,0,P1 Q2,G,P1
233,Q12,54,50,0.25,1,3,19.1740113,0,0,P1 Q2,G,P1
234,Q12,55,50,0.25,0,4,18.50482849,0,0,P1 Q2,G,P1
231,Q12,54,60,0.25,1,3,25.27661834,0,0,P1 Q2,G,P1
237,Q12,55,60,0.25,1,4,27.04917146,0,0,P1 Q2,G,P1
238,Q12,56,60,0.25,0,5,27.05123553,0,0,P1 Q2,G,P1
232,Q12,54,115,0.25,1,3,21.2248449,0,0,P1 Q2,G,P1
236,Q12,55,115,0.25,0,4,21.11673708,0,0,P1 Q2,G,P1
240,Q12,56,179,0.25,1,1,21.80123083,0,1,P1 Q2,G,P1
241,Q13,30,11,6.228319729,1,1,8.26501205,0,0,P1 Q3,G,P1
243,Q13,31,11,16.13917825,1,2,8.538423,0,0,P1 Q3,G,P1
246,Q13,32,11,47.39093448,1,3,5.40842535,0,0,P1 Q3,G,P1
248,Q13,33,11,25.02694854,1,4,5.66654565,0,0,P1 Q3,G,P1
249,Q13,34,11,13.81229673,1,5,3.63640345,0,0,P1 Q3,G,P1
252,Q13,35,11,8.73201474,0,6,2.7640519,0,0,P1 Q3,G,P1
242,Q13,30,12,6.006658499,1,1,31.3762371,0,0,P1 Q3,G,P1
244,Q13,31,12,12.48683251,1,2,30.9356496,0,0,P1 Q3,G,P1
245,Q13,32,12,0.25,1,3,31.59823162,0,0,P1 Q3,G,P1
247,Q13,33,12,54.08988405,1,4,27.6041027,0,0,P1 Q3,G,P1
250,Q13,34,12,28.9687776,1,5,27.9537777,0,0,P1 Q3,G,P1
253,Q13,35,12,30.54288281,1,6,28.7359332,0,0,P1 Q3,G,P1
257,Q13,36,12,9.585454666,0,7,30.16988555,0,0,P1 Q3,G,P1
255,Q13,35,13,0.25,0,1,8.834388634,0,0,P1 Q3,G,P1
251,Q13,35,14,0.25,0,1,5.653539412,0,0,P1 Q3,G,P1
254,Q13,35,15,0.25,0,1,5.293687068,0,1,P1 Q3,G,P1
256,Q13,36,16,0.25,0,1,31.73279412,0,1,P1 Q3,G,P1
258,Q13,38,17,0.25,0,1,28.33387771,0,1,P1 Q3,G,P1
261,Q13,38,18,0.25,0,1,28.86711834,0,1,P1 Q3,G,P1
262,Q13,38,19,0.25,0,1,15.15547692,0,1,P1 Q3,G,P1
260,Q13,38,20,0.25,0,1,16.3622652,0,1,P1 Q3,G,P1
259,Q13,38,21,0.25,0,1,16.40715192,0,1,P1 Q3,G,P1
263,Q13,38,22,0.25,0,1,1.460408158,1,1,P1 Q3,G,P1
265,Q13,39,23,0.25,0,1,18.21834802,0,1,P1 Q3,G,P1
264,Q13,39,24,0.25,0,1,0.909713626,1,1,P1 Q3,G,P1
266,Q13,41,25,0.25,0,1,11.36294567,0,0,P1 Q3,G,P1
267,Q13,45,27,0.25,0,1,22.38523943,0,1,P1 Q3,G,P1
269,Q13,45,28,0.25,0,1,6.019389412,0,1,P1 Q3,G,P1
268,Q13,45,29,0.25,0,1,6.687619882,0,1,P1 Q3,G,P1
270,Q13,46,30,0.25,0,1,2.799155034,1,1,P1 Q3,G,P1
271,Q13,46,31,0.25,1,1,12.87208161,0,1,P1 Q3,G,P1
272,Q13,49,32,34.60186588,1,1,-1.98E-08,0,0,P1 Q3,G,P1
275,Q13,56,40,0.207451668,0,1,20.92866131,0,0,P1 Q3,G,P1
277,Q13,56,41,65.15464055,1,1,5.725039427,0,0,P1 Q3,G,P1
273,Q13,56,42,3.243841146,1,1,1.79E-08,1,0,P1 Q3,G,P1
276,Q13,56,43,20.3989435,1,1,9.088569095,0,0,P1 Q3,G,P1
278,Q13,56,44,19.87892482,1,1,11.0583285,0,0,P1 Q3,G,P1
280,Q13,56,45,61.49578577,1,1,4.161856609,0,0,P1 Q3,G,P1
279,Q13,56,46,50.87034396,1,1,18.16898084,0,0,P1 Q3,G,P1
274,Q13,56,47,125.4661537,1,1,17.07253318,0,0,P1 Q3,G,P1
281,Q13,56,48,98.60210992,1,1,2.413955824,0,0,P1 Q3,G,P1
285,Q14,30,13,3.689336077,1,1,5.0010597,0,0,P1 Q4,G,P1
286,Q14,31,13,3.860028075,0,2,3.3853855,0,0,P1 Q4,G,P1
283,Q14,30,14,5.07305237,0,1,37.36374725,0,0,P1 Q4,G,P1
284,Q14,30,15,90.22914211,1,1,15.344116,0,0,P1 Q4,G,P1
288,Q14,31,15,116.8948449,1,2,13.34492065,0,0,P1 Q4,G,P1
290,Q14,32,15,163.1772446,1,3,15.27791365,0,0,P1 Q4,G,P1
293,Q14,33,15,348.2203222,1,4,8.22298006,0,0,P1 Q4,G,P1
294,Q14,34,15,136.0364802,1,5,9.767185509,0,0,P1 Q4,G,P1
303,Q14,35,15,322.3069003,1,6,6.805955827,0,0,P1 Q4,G,P1
311,Q14,36,15,249.6836845,1,7,12.21630584,0,0,P1 Q4,G,P1
314,Q14,37,15,301.5236532,1,8,7.548890964,0,0,P1 Q4,G,P1
331,Q14,38,15,238.2906939,1,9,2.802295643,0,0,P1 Q4,G,P1
379,Q14,39,15,389.6760311,1,10,1.783226103,0,0,P1 Q4,G,P1
390,Q14,40,15,281.3071523,1,11,3.051381588,0,0,P1 Q4,G,P1
398,Q14,41,15,142.7158759,1,12,10.94433628,0,0,P1 Q4,G,P1
407,Q14,45,15,282.9187902,1,16,5.206240951,0,0,P1 Q4,G,P1
411,Q14,46,15,230.5832214,1,17,6.00562064,0,0,P1 Q4,G,P1
417,Q14,49,15,121.7957377,1,20,14.09853553,0,0,P1 Q4,G,P1
282,Q14,30,16,33.84986867,1,1,3.5849199,0,0,P1 Q4,G,P1
287,Q14,31,16,46.0811734,1,2,1.778344887,0,0,P1 Q4,G,P1
289,Q14,32,16,54.85423607,1,3,3.1351988,0,0,P1 Q4,G,P1
292,Q14,33,16,132.0020662,1,4,2.25E-08,0,0,P1 Q4,G,P1
295,Q14,34,16,67.09898392,1,5,0.515127688,0,0,P1 Q4,G,P1
301,Q14,35,16,103.1046718,1,6,1.094669077,0,0,P1 Q4,G,P1
309,Q14,36,16,92.05992356,1,7,0.140913648,0,0,P1 Q4,G,P1
316,Q14,37,16,93.96484694,1,8,0.211451122,0,0,P1 Q4,G,P1
328,Q14,38,16,45.60614736,1,9,0.174373014,0,0,P1 Q4,G,P1
369,Q14,39,16,18.20712438,1,10,0.065423008,1,0,P1 Q4,G,P1
391,Q14,40,16,8.830950119,0,11,0.897978452,1,0,P1 Q4,G,P1
291,Q14,33,17,16.95202604,0,1,-1.36E-08,1,0,P1 Q4,G,P1
297,Q14,34,18,0.25,1,1,21.2778488,0,0,P1 Q4,G,P1
302,Q14,35,18,4.934102752,1,2,20.4594363,0,0,P1 Q4,G,P1
307,Q14,36,18,5.710624945,1,3,20.34148474,0,0,P1 Q4,G,P1
313,Q14,37,18,2.48390159,1,4,19.70719022,0,0,P1 Q4,G,P1
326,Q14,38,18,5.2613685,1,5,17.02735819,0,0,P1 Q4,G,P1
368,Q14,39,18,11.19018581,1,6,18.52727148,0,0,P1 Q4,G,P1
388,Q14,40,18,17.00235479,1,7,13.87618158,0,0,P1 Q4,G,P1
393,Q14,41,18,21.37828058,1,8,13.46124097,0,0,P1 Q4,G,P1
405,Q14,45,18,148.2166127,1,12,8.159497202,0,0,P1 Q4,G,P1
414,Q14,46,18,160.9377782,1,13,8.506705835,0,0,P1 Q4,G,P1
415,Q14,49,18,39.82487358,1,16,12.3590019,0,0,P1 Q4,G,P1
